adult/id,adult_ticket_order_number,type_of_ticket,amount,attended,isOwner,adult/children_no,adult/createdAt,adult/updatedAt
fb33c0e7-cd4f-4913-a949-917ddd66c4d2,SFF/ORNo/00139,group,2000,FALSE,TRUE,0,2023-07-15T17:26:49.000Z,2023-07-20T20:45:01.000Z
419389b2-e163-470a-b6c2-33d1642f9326,SFF/ORNo/00534,group,2000,FALSE,TRUE,3,2023-07-20T19:00:02.000Z,2023-07-20T19:34:46.000Z
8b5ef82a-e9fd-40b5-882e-c5294c432271,SFF/ORNo/00184,group,2500,FALSE,TRUE,2,2023-07-15T17:26:59.000Z,2023-07-21T18:52:49.000Z
77f36446-386d-4b74-8da9-101134ed2a35,SFF/ORNo/00273,group,2000,FALSE,TRUE,2,2023-07-20T19:00:05.000Z,2023-07-20T19:00:05.000Z
f7229e7e-ef15-4712-a53f-8078f1065f73,SF/ORNo/0BCLB,individual,3000,FALSE,FALSE,,2023-07-21T11:08:18.000Z,2023-07-21T11:08:18.000Z
7c73f1a4-a533-44c1-b1eb-d8a994a89b6e,SFF/ORNo/00198,group,2000,FALSE,TRUE,0,2023-07-18T12:11:51.000Z,2023-07-20T20:45:43.000Z
5ec5cf20-5321-4c92-a8cf-0d56603f5cbe,SFF/ORNo/00078,individual,3000,FALSE,TRUE,0,2023-07-14T12:20:50.000Z,2023-07-20T20:44:04.000Z
ccf7bf98-ed28-4c92-8d91-9c47ed4a6a04,SFF/ORNo/00528,group,2000,FALSE,TRUE,14,2023-07-20T19:00:01.000Z,2023-07-20T19:34:43.000Z
1e92f97a-4e59-4ba8-bf4b-514a7097b702,SF/ORNo/ZL0K0,group,2500,FALSE,FALSE,,2023-07-20T16:39:48.000Z,2023-07-20T16:41:49.000Z
fe8f7c3b-493e-4aae-b28a-ffe6aa4098d8,SFF/ORNo/00065,individual,3000,FALSE,TRUE,0,2023-07-14T12:20:47.000Z,2023-07-20T20:44:01.000Z
bda8f1d5-988a-4503-8482-4d70eb461c59,SFF/ORNo/00533,group,2000,FALSE,TRUE,2,2023-07-20T19:00:02.000Z,2023-07-21T05:23:21.000Z
565239f1-cc6c-451c-a86d-2ea601a10571,SF/ORNo/MT0GS,individual,3000,FALSE,FALSE,,2023-07-21T19:57:21.000Z,2023-07-21T19:58:57.000Z
5c3f06a2-e0bc-4ef4-86e0-048537fa3b3c,SFF/ORNo/00099,individual,3000,TRUE,FALSE,0,2023-07-14T12:34:46.000Z,2023-07-14T12:34:46.000Z
